ShipmentID,OrderDate,ShipDate,DeliveryDate,DateKey,CarrierKey,WarehouseKey,ShipModeKey,ProductCategoryKey,DestinationKey,PackageCount,TotalWeightLbs,ShippingCost,TargetDeliveryDays,ActualDeliveryDays,OnTimeFlag,DamageFlag,ReturnFlag,CustomerSatisfactionScore
SHP-000049,2024-04-09,2024-04-11,2024-04-12,20240409,3,6,4,6,25,1,11.2,86.24,2,1,1,1,0,5
SHP-000050,2023-01-16,2023-01-17,2023-01-25,20230116,8,6,2,1,7,2,11.1,36.75,4,8,0,0,0,4
SHP-000051,2024-07-16,2024-07-17,2024-07-24,20240716,1,6,2,1,22,3,4.1,26.28,4,7,0,0,0,1
SHP-000052,2024-08-10,2024-08-10,2024-08-17,20240810,6,5,1,6,18,6,12.7,28.32,7,7,1,0,0,4
SHP-000053,2023-03-23,2023-03-24,2023-03-30,20230323,5,4,2,1,18,6,3.0,54.8,4,6,0,0,0,3
SHP-000054,2024-12-30,2024-12-30,2025-01-01,20241230,5,3,4,6,13,3,5.7,23.42,2,2,1,0,0,3
SHP-000055,2024-04-19,2024-04-21,2024-04-29,20240419,6,6,2,3,11,1,8.7,40.85,4,8,0,0,0,3
SHP-000056,2024-04-23,2024-04-24,2024-04-30,20240423,6,4,1,6,11,1,14.7,29.64,7,6,1,0,0,3
SHP-000057,2024-01-31,2024-01-31,2024-02-07,20240131,6,1,1,3,2,4,11.0,8.02,7,7,1,0,0,4
SHP-000058,2023-12-14,2023-12-16,2023-12-20,20231214,7,5,2,7,11,5,4.5,54.08,4,4,1,0,0,4
SHP-000059,2023-05-20,2023-05-21,2023-05-23,20230520,8,5,6,5,18,1,100.4,618.47,0,2,0,0,0,5
SHP-000060,2024-04-10,2024-04-11,2024-04-19,20240410,7,3,1,1,24,1,3.3,35.72,7,8,0,0,0,5
SHP-000061,2023-01-01,2023-01-01,2023-01-11,20230101,4,3,1,1,12,1,10.7,7.11,7,10,0,0,1,2
SHP-000062,2024-09-09,2024-09-09,2024-09-09,20240909,3,4,6,5,16,2,83.4,526.58,0,0,1,0,1,4
SHP-000063,2023-06-21,2023-06-21,2023-06-24,20230621,7,3,2,6,11,3,3.2,40.15,4,3,1,0,0,4
SHP-000064,2024-05-21,2024-05-23,2024-05-29,20240521,2,3,1,2,30,2,25.1,129.19,7,6,1,0,0,1
SHP-000065,2024-01-17,2024-01-18,2024-01-25,20240117,6,6,2,5,13,3,50.1,299.39,4,7,0,0,0,3
SHP-000066,2023-03-31,2023-04-02,2023-04-02,20230331,4,1,3,6,13,2,13.0,117.58,1,0,1,0,0,4
SHP-000067,2024-07-29,2024-07-30,2024-08-11,20240729,4,4,2,5,16,3,152.3,108.56,4,12,0,0,0,1
SHP-000068,2023-03-05,2023-03-06,2023-03-14,20230305,3,1,1,3,10,2,9.9,25.24,7,8,0,0,0,2
SHP-000069,2024-03-17,2024-03-19,2024-04-01,20240317,3,1,5,4,11,5,27.0,26.87,10,13,0,0,0,2
SHP-000070,2024-03-14,2024-03-14,2024-03-18,20240314,8,2,4,5,17,2,26.7,189.02,2,4,0,0,0,2
SHP-000071,2024-07-20,2024-07-20,2024-07-21,20240720,5,4,4,1,3,1,1.8,12.21,2,1,1,0,0,1
SHP-000072,2023-10-03,2023-10-03,2023-10-06,20231003,8,4,4,1,14,4,3.1,26.09,2,3,0,0,0,2
SHP-000073,2023-11-15,2023-11-17,2023-11-19,20231115,4,6,3,4,2,6,28.2,106.66,1,2,0,0,0,2
SHP-000074,2024-07-20,2024-07-20,2024-07-24,20240720,8,1,2,3,7,1,2.4,37.69,4,4,1,0,0,4
SHP-000075,2023-09-05,2023-09-07,2023-09-17,20230905,1,6,1,8,22,6,32.4,55.26,7,10,0,0,0,3
SHP-000076,2024-07-27,2024-07-28,2024-08-01,20240727,4,5,4,2,29,3,44.3,489.17,2,4,0,0,0,4
SHP-000077,2024-06-24,2024-06-26,2024-07-06,20240624,5,1,1,5,13,3,53.4,115.86,7,10,0,0,0,4
SHP-000078,2023-09-16,2023-09-17,2023-09-21,20230916,6,5,2,8,6,2,20.5,82.28,4,4,1,0,0,4
SHP-000079,2024-08-30,2024-08-30,2024-09-08,20240830,8,3,1,5,15,1,189.9,228.96,7,9,0,0,0,1
SHP-000080,2024-04-15,2024-04-15,2024-05-01,20240415,5,5,1,2,5,3,90.0,147.75,7,16,0,0,0,2
SHP-000081,2023-01-25,2023-01-27,2023-01-28,20230125,7,3,4,7,25,4,9.0,51.02,2,1,1,0,0,4
SHP-000082,2024-08-24,2024-08-24,2024-08-28,20240824,1,6,2,2,26,2,49.0,127.74,4,4,1,0,0,3
SHP-000083,2024-05-03,2024-05-05,2024-05-08,20240503,8,3,4,1,6,4,3.5,17.67,2,3,0,0,0,3
SHP-000084,2023-08-03,2023-08-03,2023-08-08,20230803,2,3,2,8,5,1,15.4,66.92,4,5,0,0,0,2
SHP-000085,2023-07-23,2023-07-24,2023-08-07,20230723,6,6,5,3,15,4,2.5,9.15,10,14,0,0,0,2
SHP-000086,2024-01-24,2024-01-24,2024-01-31,20240124,8,5,2,1,15,1,10.3,27.91,4,7,0,0,0,3
SHP-000087,2024-10-03,2024-10-03,2024-10-06,20241003,4,5,2,7,6,4,2.5,17.99,4,3,1,0,0,5
SHP-000088,2024-12-14,2024-12-14,2024-12-24,20241214,4,4,1,7,29,1,12.2,31.13,7,10,0,0,0,2
SHP-000089,2024-01-09,2024-01-10,2024-01-19,20240109,7,6,1,3,30,5,15.0,7.58,7,9,0,0,0,5
SHP-000090,2023-11-22,2023-11-24,2023-11-29,20231122,1,4,2,3,6,4,13.0,52.11,4,5,0,0,0,2
SHP-000091,2024-05-05,2024-05-05,2024-05-12,20240505,4,5,2,2,16,3,115.4,119.69,4,7,0,0,0,3
SHP-000092,2023-04-23,2023-04-25,2023-05-03,20230423,3,1,2,3,13,6,3.8,18.07,4,8,0,0,0,2
SHP-000093,2023-12-22,2023-12-24,2023-12-28,20231222,5,1,2,8,29,1,33.7,86.65,4,4,1,0,0,5
SHP-000094,2023-11-23,2023-11-25,2023-12-06,20231123,1,3,1,7,26,6,12.7,32.33,7,11,0,0,0,2
SHP-000095,2023-03-10,2023-03-10,2023-03-21,20230310,2,1,1,6,13,3,1.0,29.07,7,11,0,0,0,1
SHP-000096,2024-11-03,2024-11-05,2024-11-11,20241103,7,5,1,2,10,2,110.8,229.72,7,6,1,0,0,5
SHP-000097,2024-01-05,2024-01-06,2024-01-08,20240105,7,1,3,4,29,4,42.5,159.88,1,2,0,0,0,4
SHP-000098,2024-08-22,2024-08-22,2024-08-31,20240822,1,2,1,1,3,4,13.2,17.05,7,9,0,0,0,3
SHP-000099,2024-01-28,2024-01-30,2024-02-01,20240128,6,3,4,8,28,1,10.5,169.0,2,2,1,0,0,3
SHP-000100,2023-11-08,2023-11-08,2023-11-10,20231108,6,5,4,6,19,6,12.8,24.99,2,2,1,0,0,2
SHP-000101,2023-02-17,2023-02-18,2023-02-19,20230217,8,3,4,6,7,2,8.3,70.91,2,1,1,0,0,5
SHP-000102,2023-08-28,2023-08-28,2023-09-06,20230828,1,6,5,2,3,3,129.6,117.06,10,9,1,0,0,4
SHP-000103,2023-03-31,2023-04-01,2023-04-07,20230331,8,5,4,7,5,3,4.2,26.64,2,6,0,0,0,2
SHP-000104,2024-05-17,2024-05-17,2024-05-30,20240517,8,6,5,3,12,5,3.6,21.39,10,13,0,0,0,2
SHP-000105,2024-06-18,2024-06-19,2024-06-27,20240618,3,3,1,2,10,3,29.0,240.75,7,8,0,0,0,4
SHP-000106,2023-05-06,2023-05-07,2023-05-13,20230506,8,2,2,1,1,6,8.7,35.6,4,6,0,0,0,1
SHP-000107,2023-11-20,2023-11-20,2023-11-24,20231120,5,6,2,6,19,1,12.5,12.88,4,4,1,0,0,3
SHP-000108,2023-07-16,2023-07-18,2023-07-18,20230716,4,6,3,6,5,1,4.8,101.85,1,0,1,0,0,2
SHP-000109,2024-06-27,2024-06-29,2024-07-04,20240627,4,3,2,5,13,3,68.5,212.45,4,5,0,0,0,3
SHP-000110,2024-05-26,2024-05-26,2024-05-27,20240526,3,4,4,8,12,4,8.0,59.49,2,1,1,0,0,5
SHP-000111,2024-03-23,2024-03-23,2024-04-01,20240323,3,4,1,5,6,2,163.7,133.24,7,9,0,0,0,2
SHP-000112,2023-01-01,2023-01-02,2023-01-11,20230101,5,5,6,6,22,2,6.1,107.17,0,9,0,0,0,3
SHP-000113,2023-05-15,2023-05-15,2023-05-23,20230515,2,1,3,7,6,3,1.0,75.27,1,8,0,0,0,3
SHP-000114,2024-11-08,2024-11-08,2024-11-13,20241108,5,6,2,1,2,3,5.4,39.82,4,5,0,0,0,1
SHP-000115,2024-05-01,2024-05-01,2024-05-08,20240501,2,1,2,7,9,4,12.2,43.53,4,7,0,0,0,2
SHP-000116,2023-11-30,2023-12-02,2023-12-10,20231130,7,1,1,1,26,6,9.3,33.71,7,8,0,0,0,2
SHP-000117,2024-09-03,2024-09-04,2024-09-07,20240903,5,2,2,6,3,4,2.0,40.9,4,3,1,0,0,5
SHP-000118,2023-07-22,2023-07-24,2023-08-05,20230722,1,2,5,3,14,4,4.9,11.45,10,12,0,0,0,3
SHP-000119,2024-02-09,2024-02-10,2024-02-13,20240209,7,5,2,2,8,1,83.0,302.54,4,3,1,0,0,5
SHP-000120,2024-09-07,2024-09-09,2024-09-16,20240907,7,1,2,5,7,3,146.4,68.0,4,7,0,0,0,1
SHP-000121,2023-07-31,2023-07-31,2023-08-07,20230731,3,4,1,2,23,1,186.9,141.92,7,7,1,0,0,4
SHP-000122,2023-09-01,2023-09-03,2023-09-04,20230901,5,4,3,5,4,3,125.2,539.51,1,1,1,0,0,5
SHP-000123,2023-09-02,2023-09-03,2023-09-11,20230902,4,5,2,8,5,5,10.0,85.97,4,8,0,0,0,1
SHP-000124,2024-01-20,2024-01-20,2024-01-28,20240120,2,2,1,6,11,3,0.8,20.65,7,8,0,0,0,4
SHP-000125,2024-03-26,2024-03-28,2024-03-31,20240326,2,2,2,2,3,2,152.2,232.07,4,3,1,0,0,5
SHP-000126,2023-12-19,2023-12-19,2023-12-28,20231219,4,2,5,1,2,6,4.4,18.2,10,9,1,0,0,5
SHP-000127,2024-08-07,2024-08-09,2024-08-20,20240807,5,1,1,1,26,4,1.9,31.84,7,11,0,0,0,4
SHP-000128,2024-08-23,2024-08-25,2024-08-29,20240823,7,4,6,1,10,6,12.5,172.05,0,4,0,0,0,2
SHP-000129,2024-03-06,2024-03-07,2024-03-14,20240306,7,4,1,3,28,1,3.4,27.13,7,7,1,0,0,5
SHP-000130,2024-03-24,2024-03-25,2024-03-30,20240324,8,2,4,1,5,5,1.0,61.99,2,5,0,0,0,2
SHP-000131,2023-04-24,2023-04-24,2023-04-25,20230424,1,3,4,3,27,4,4.4,59.08,2,1,1,0,0,5
SHP-000132,2023-11-03,2023-11-05,2023-11-17,20231103,1,3,1,8,6,1,10.0,18.5,7,12,0,0,0,5
SHP-000133,2024-10-19,2024-10-20,2024-10-30,20241019,3,6,4,4,10,5,36.0,145.05,2,10,0,0,0,3
SHP-000134,2023-02-01,2023-02-03,2023-02-13,20230201,3,1,1,6,27,1,10.5,28.43,7,10,0,0,0,2
SHP-000135,2024-02-01,2024-02-01,2024-02-07,20240201,8,1,1,8,8,3,41.7,29.36,7,6,1,0,0,1
SHP-000136,2024-06-16,2024-06-18,2024-06-25,20240616,8,5,1,8,17,6,34.8,16.72,7,7,1,0,0,4
SHP-000137,2023-07-21,2023-07-23,2023-08-01,20230721,4,1,1,1,17,2,14.4,8.17,7,9,0,0,0,3
SHP-000138,2023-11-04,2023-11-04,2023-11-08,20231104,3,2,3,1,21,3,3.3,86.0,1,4,0,0,0,3
SHP-000139,2023-04-14,2023-04-15,2023-04-18,20230414,5,5,3,6,10,4,7.7,42.18,1,3,0,0,0,2
SHP-000140,2023-08-07,2023-08-09,2023-08-19,20230807,7,1,5,8,9,1,23.1,54.5,10,10,1,0,0,4
SHP-000141,2023-08-27,2023-08-28,2023-09-01,20230827,7,4,3,5,28,1,188.3,344.96,1,4,0,0,0,4
SHP-000142,2024-07-02,2024-07-04,2024-07-10,20240702,3,4,2,2,26,1,51.2,186.48,4,6,0,0,0,5
SHP-000143,2024-02-20,2024-02-21,2024-02-26,20240220,8,1,3,3,9,2,1.5,73.09,1,5,0,0,0,2
SHP-000144,2023-01-24,2023-01-25,2023-02-04,20230124,4,5,5,6,11,5,6.9,17.5,10,10,1,0,0,4
SHP-000145,2024-02-20,2024-02-20,2024-03-06,20240220,1,3,1,6,7,4,0.8,11.21,7,15,0,0,0,1
SHP-000146,2023-07-07,2023-07-07,2023-07-10,20230707,3,6,2,2,16,2,33.8,193.22,4,3,1,0,0,5
SHP-000147,2024-06-14,2024-06-15,2024-06-22,20240614,6,4,2,4,4,5,11.6,89.54,4,7,0,0,0,3
SHP-000148,2023-12-28,2023-12-30,2024-01-08,20231228,3,3,1,4,29,4,38.8,49.31,7,9,0,0,1,2
SHP-000149,2023-04-26,2023-04-28,2023-05-01,20230426,3,4,2,2,7,3,102.6,258.29,4,3,1,0,0,4
SHP-000150,2024-07-27,2024-07-27,2024-08-02,20240727,2,5,1,4,5,6,16.9,56.38,7,6,1,0,0,4
SHP-000151,2023-12-02,2023-12-04,2023-12-08,20231202,3,5,2,3,28,1,12.0,34.78,4,4,1,0,0,4
SHP-000152,2023-04-20,2023-04-22,2023-04-23,20230420,5,5,3,4,20,6,47.4,53.92,1,1,1,0,0,4
SHP-000153,2023-02-18,2023-02-19,2023-02-20,20230218,4,4,4,8,21,1,49.2,42.03,2,1,1,0,0,4
SHP-000154,2023-10-15,2023-10-16,2023-10-25,20231015,7,5,1,5,22,1,130.3,132.97,7,9,0,0,0,2
SHP-000155,2024-02-21,2024-02-23,2024-02-26,20240221,3,2,2,1,18,2,10.9,37.13,4,3,1,0,0,4
SHP-000156,2023-12-03,2023-12-05,2023-12-16,20231203,3,1,5,3,27,5,1.8,12.47,10,11,0,0,0,4
SHP-000157,2024-06-29,2024-07-01,2024-07-12,20240629,4,4,5,1,30,1,6.3,8.05,10,11,0,0,0,3
SHP-000158,2023-01-21,2023-01-22,2023-01-30,20230121,7,4,2,2,22,1,61.9,268.86,4,8,0,0,0,2
SHP-000159,2024-01-03,2024-01-04,2024-01-11,20240103,6,6,1,5,23,1,51.2,246.45,7,7,1,0,0,5
SHP-000160,2024-07-23,2024-07-23,2024-07-27,20240723,4,4,6,2,2,2,164.3,474.18,0,4,0,0,0,3
SHP-000161,2023-10-08,2023-10-08,2023-10-10,20231008,3,5,6,1,15,3,13.9,33.88,0,2,0,0,0,5
SHP-000162,2024-11-03,2024-11-04,2024-11-15,20241103,4,1,1,2,25,3,21.2,116.59,7,11,0,0,0,3
SHP-000163,2024-04-26,2024-04-28,2024-05-10,20240426,4,6,5,8,6,6,7.8,52.74,10,12,0,0,0,4
SHP-000164,2023-06-28,2023-06-28,2023-06-30,20230628,5,5,3,7,20,5,12.9,81.69,1,2,0,0,0,3
SHP-000165,2023-02-20,2023-02-21,2023-03-04,20230220,1,1,1,2,24,3,157.9,73.54,7,11,0,0,0,5
SHP-000166,2023-03-08,2023-03-08,2023-03-16,20230308,8,5,1,3,25,3,7.1,20.44,7,8,0,0,0,4
SHP-000167,2024-11-06,2024-11-08,2024-11-16,20241106,7,5,1,6,23,1,2.8,18.37,7,8,0,0,0,2
SHP-000168,2023-12-02,2023-12-02,2023-12-08,20231202,8,2,2,4,8,2,33.5,69.86,4,6,0,0,0,3
SHP-000169,2023-01-01,2023-01-02,2023-01-05,20230101,2,6,6,2,6,2,134.8,538.72,0,3,0,0,0,3
SHP-000170,2024-06-02,2024-06-04,2024-06-05,20240602,5,4,4,2,19,3,179.6,232.97,2,1,1,0,1,4
SHP-000171,2024-06-15,2024-06-17,2024-06-19,20240615,5,3,3,2,28,3,92.1,552.87,1,2,0,0,0,4
SHP-000172,2024-09-21,2024-09-21,2024-10-04,20240921,1,5,5,7,1,5,13.6,5.03,10,13,0,0,0,1
SHP-000173,2024-01-16,2024-01-17,2024-01-28,20240116,1,1,1,7,10,1,11.0,13.3,7,11,0,0,0,2
SHP-000174,2023-05-02,2023-05-04,2023-05-14,20230502,5,2,1,4,26,4,16.9,42.61,7,10,0,0,0,5
SHP-000175,2024-12-01,2024-12-03,2024-12-10,20241201,8,4,2,6,29,2,8.1,42.86,4,7,0,0,0,5
SHP-000176,2024-06-30,2024-07-02,2024-07-13,20240630,4,6,1,7,10,1,1.1,25.11,7,11,0,0,0,4
SHP-000177,2023-06-12,2023-06-13,2023-06-24,20230612,7,4,5,5,21,2,172.9,81.12,10,11,0,0,0,2
SHP-000178,2023-10-18,2023-10-19,2023-10-28,20231018,7,6,1,6,21,6,3.0,37.89,7,9,0,0,0,1
SHP-000179,2024-02-02,2024-02-03,2024-02-08,20240202,5,5,2,8,9,1,15.3,54.57,4,5,0,0,0,4
SHP-000180,2024-08-23,2024-08-24,2024-08-30,20240823,5,3,2,3,17,2,13.6,30.41,4,6,0,0,0,1
SHP-000181,2024-02-22,2024-02-24,2024-03-05,20240222,4,6,1,5,22,1,75.5,128.83,7,10,0,0,0,3
SHP-000182,2024-08-04,2024-08-06,2024-08-11,20240804,8,4,4,4,20,1,15.8,93.66,2,5,0,0,0,4
SHP-000183,2023-04-23,2023-04-23,2023-04-26,20230423,7,6,3,5,9,1,190.0,670.72,1,3,0,0,0,4
SHP-000184,2024-07-13,2024-07-14,2024-07-25,20240713,7,5,1,8,19,6,11.9,41.57,7,11,0,0,0,3
SHP-000185,2024-09-11,2024-09-13,2024-09-17,20240911,1,4,2,8,28,3,24.8,111.67,4,4,1,0,1,4
SHP-000186,2024-03-29,2024-03-31,2024-04-04,20240329,8,6,2,5,7,1,50.9,102.14,4,4,1,0,1,4
SHP-000187,2024-08-13,2024-08-15,2024-08-26,20240813,3,5,1,5,11,2,134.4,68.53,7,11,0,0,0,3
SHP-000188,2024-01-28,2024-01-29,2024-02-04,20240128,5,1,3,5,1,1,111.8,702.78,1,6,0,0,0,1
SHP-000189,2023-12-17,2023-12-17,2023-12-23,20231217,1,6,1,1,7,3,12.5,15.18,7,6,1,0,0,4
SHP-000190,2023-10-08,2023-10-10,2023-10-20,20231008,6,2,1,3,23,4,9.2,25.63,7,10,0,0,0,2
SHP-000191,2023-12-29,2023-12-30,2024-01-03,20231229,7,5,2,5,23,3,79.6,216.76,4,4,1,0,0,2
SHP-000192,2024-10-20,2024-10-20,2024-10-25,20241020,1,4,2,3,19,3,1.1,15.45,4,5,0,0,0,4
SHP-000193,2024-03-24,2024-03-25,2024-04-04,20240324,8,5,1,6,11,4,6.5,10.32,7,10,0,0,0,1
SHP-000194,2024-03-25,2024-03-27,2024-04-01,20240325,6,6,2,1,3,1,3.8,18.9,4,5,0,0,0,4
SHP-000195,2024-01-09,2024-01-10,2024-01-16,20240109,7,6,2,5,12,1,104.6,291.52,4,6,0,0,0,2
SHP-000196,2024-05-22,2024-05-23,2024-05-24,20240522,7,3,4,1,9,3,13.2,71.49,2,1,1,0,0,5
SHP-000197,2024-02-24,2024-02-24,2024-02-26,20240224,2,2,4,4,14,4,22.2,140.74,2,2,1,0,0,5
SHP-000198,2023-09-21,2023-09-21,2023-09-27,20230921,8,6,2,8,1,3,36.0,68.82,4,6,0,0,0,2
SHP-000199,2023-09-10,2023-09-10,2023-09-19,20230910,5,2,1,1,28,1,4.8,13.56,7,9,0,0,0,4
SHP-000200,2024-08-29,2024-08-30,2024-09-04,20240829,2,1,2,2,25,2,64.3,253.04,4,5,0,0,0,1
SHP-000201,2023-03-18,2023-03-18,2023-03-24,20230318,2,5,2,1,9,3,12.4,17.5,4,6,0,0,0,3
SHP-000202,2024-07-29,2024-07-30,2024-08-02,20240729,1,3,2,1,27,3,7.4,38.19,4,3,1,0,0,4
SHP-000203,2023-06-08,2023-06-09,2023-06-13,20230608,5,3,3,8,25,5,7.8,131.82,1,4,0,0,0,3
SHP-000204,2023-06-20,2023-06-22,2023-06-26,20230620,2,2,3,4,22,4,9.8,129.28,1,4,0,0,0,3
SHP-000205,2024-09-28,2024-09-28,2024-10-09,20240928,7,2,1,8,24,2,46.0,28.06,7,11,0,0,0,4
SHP-000206,2023-07-13,2023-07-15,2023-07-23,20230713,2,2,2,7,30,5,9.7,40.82,4,8,0,0,0,4
SHP-000207,2023-12-19,2023-12-19,2023-12-27,20231219,6,2,2,6,24,2,14.9,20.96,4,8,0,0,0,2
SHP-000208,2024-01-23,2024-01-24,2024-02-07,20240123,8,3,5,2,20,3,195.6,55.65,10,14,0,0,0,2
SHP-000209,2024-01-18,2024-01-18,2024-01-29,20240118,6,1,5,4,4,5,40.3,22.16,10,11,0,0,0,3
SHP-000210,2023-09-21,2023-09-22,2023-09-27,20230921,6,5,4,6,16,5,10.9,59.16,2,5,0,0,0,2
SHP-000211,2023-03-26,2023-03-27,2023-04-03,20230326,6,5,1,8,7,4,24.1,34.37,7,7,1,0,0,5
SHP-000212,2023-01-10,2023-01-12,2023-01-17,20230110,7,5,2,3,12,4,1.5,19.85,4,5,0,0,0,2
SHP-000213,2023-01-21,2023-01-23,2023-01-26,20230121,2,1,2,1,26,5,5.6,32.52,4,3,1,0,0,4
